Basin,Country,Description,DateSigned,Signatories,IssueArea
Lima,Spain,Convention about the cooperation for the protection and sustainable use of the waters of Portuguese-Spanish hydrological basins and additional protocol,30/11/1998,Spain  Portugal,Water Quality  Infrastructure/Development
Mino,Spain,Convention about the cooperation for the protection and sustainable use of the waters of Portuguese-Spanish hydrological basins and additional protocol,30/11/1998,Spain  Portugal,Water Quality  Infrastructure/Development
Garonne,Spain,Agreement between the government of the French Republic and the Spanish government relating to Lake Lanoux,12/07/1958,France  Spain,Water Quantity
Garonne,Spain,Exchange of letters constituting an agreement between France and Spain amending the arrangement of 12 July 1958 relating to Lake Lanoux,27/01/1970,France  Spain,Water Quantity
Douro/Duero,Spain,Convention between Spain and Portugal for regulating the hydroelectric development of the international reaches of the Duero river and of its tributaries,16/07/1964,Portugal  Spain,Water Quantity  Hydro-power/Hydro-electricity
Guadiana,Spain,Agreement regulating the use and development of the water resources of the international reaches of the rivers Mi���o  Limia  Tajo  Guadiana  and Chanza and of their tributaries (with additional protocol)  signed at Madrid,29/05/1968,Portugal  Spain,Water Quantity  Hydro-power/Hydro-electricity
Lima,Spain,Agreement regulating the use and development of the water resources of the international reaches of the rivers Mi���o  Limia  Tajo  Guadiana  and Chanza and of their tributaries (with additional protocol)  signed at Madrid,29/05/1968,Portugal  Spain,Water Quantity  Hydro-power/Hydro-electricity
Mino,Spain,Agreement regulating the use and development of the water resources of the international reaches of the rivers Mi���o  Limia  Tajo  Guadiana  and Chanza and of their tributaries (with additional protocol)  signed at Madrid,29/05/1968,Portugal  Spain,Water Quantity  Hydro-power/Hydro-electricity
Tagus/Tejo,Spain,Agreement regulating the use and development of the water resources of the international reaches of the rivers Mi���o  Limia  Tajo  Guadiana  and Chanza and of their tributaries (with additional protocol)  signed at Madrid,29/05/1968,Portugal  Spain,Water Quantity  Hydro-power/Hydro-electricity
General,Spain,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
Groundwater,Sudan,Agreement 1 - Text between Chad  Egypt  Libya and Sudan concerning the monitoring and exchange of groundwater information of the Nubian Sandstone Aquifer System. 5 October  2000,05/10/2000,Chad  Egypt  Libya  Sudan  AF63,N.A.
Groundwater,Sudan,Agreement 2 - Text between Chad  Egypt  Libya and Sudan for Monitoring and Data Sharing for sustainable development and proper management of the Nubian Sandstone Aquifer System. 5 October  2000,05/10/2000,Chad  Egypt  Libya  Sudan  AF63,N.A.
Nile,Sudan,Protocol (to the November 8  1959 agreement) Concerning the Establishment of the Permanent Joint Technical Committee. Cairo  17 January  1960,17/01/1960,Egypt  Sudan,N.A.
Nile,Sudan,Agreement for the Hydrometeorological Survey of Lakes Victoria  Kyogo and Albert (Mobutu Sese Seko),17/08/1967,Kenya  Tanganyika  Uganda  Sudan  Egypt,N.A.
Nile,Sudan,Jebel Awilya Compensation Agreement. 1932,01/01/1932,Sudan  Egypt,N.A.
Nile,Sudan,Protocol between Great Britain and Italy for the demarcation of their respective spheres of influence in Eastern Africa,4/15/1891,Great Britain  Italy,Border Issues  Water Quantity
Nile,Sudan,Agreement between the government of the United Arab Republic and the government of Sudan for full utilization of the Nile waters,08/11/1959,Sudan  United Arab Republic,Flood control/relief  Water Quantity
General,Sudan,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Nile,Sudan,Agreement between Great Britain  France  and Italy respecting Abyssinia,13/12/1906,France  Great Britain  Italy,Territorial Issues
General,Sudan,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Gash,Sudan,Letters between the irrigation adviser and director of irrigation  Sudan government  and the controller of agriculture  Eritrea,18/04/1951,Eritrea  Sudan,Water Quantity
Nile,Sudan,Exchange of notes between Great Britain and Ethiopia,18/03/1902,Ethiopia  Great Britain,Water Quantity
Nile,Sudan,Exchange of notes between His Majesty's government in the United Kingdom and the Egyptian Government in regard to the use of the waters of the River Nile for irrigation purposes,07/05/1929,Great Britain  Egypt ,Water Quantity
Nile,Sudan,Treaties between Great Britain and Ethiopia  relative to the frontiers between Anglo-Egyptian Soudan  Ethiopia  and Erythroea (Railway to connect Soudan with Uganda),15/05/1902,Great Britain  Ethiopia,Water Quantity
Gash,Sudan,Exchange of notes between the United Kingdom and Italy respecting the regulation of the utilisation of the waters of the River Gash,15/06/1925,Italy  Great Britain,Water Quantity
Maroni,Suriname,Convention between France and the Netherlands to fix the boundary between Suriname and French Guiana  signed at Paris,30/09/1915,France  Netherlands,Border Issues  Navigation
Unknown,Swaziland,Agreement between the Government of the Republic of South Africa  Swaziland and the Government of Portugal in regard to rivers of mutual interest and the Cunene Scheme,13/10/1964,South Africa  Swaziland  Portugal (in respect of Mozambique),N.A.
Unknown,Swaziland,Decree concerning the publication of the exchange of letters between France and Switzerland  regarding the compensation of the French authorities by Switzerland for the water rights due to the diversion of the Allaine River.,16/05/1905,Switzerland  France,N.A.
General,Swaziland,Protocol on shared watercourse systems in the Southern African Development community (SADC) region,28/08/1995,Angola  Botswana  Lesotho  Malawi  Namibia  Zimbabwe  Mozanbique  Zambia  South Africa  Swaziland  Tanzania,Joint Management
Incomati,Swaziland,Tripartite Interim Agreement between the Republic of Mozambique and the Republic of South Africa and the Kingdom of Swaziland for co-operation on the protection and sustainable utilisation of the water resources of the Incomati and Maputo watercourses,29/08/2002,South Africa  Mozambique  Swaziland,Joint Management
Maputo,Swaziland,Tripartite Interim Agreement between the Republic of Mozambique and the Republic of South Africa and the Kingdom of Swaziland for co-operation on the protection and sustainable utilisation of the water resources of the Incomati and Maputo watercourses,29/08/2002,South Africa  Mozambique  Swaziland,Joint Management
General,Swaziland,Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
General,Swaziland,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
General,Swaziland,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Incomati,Swaziland,Tripartite permanent technical committee ministerial meeting of ministers responsible for water affairs.,15/02/1991,Mozambique  South Africa  Swaziland,Water Quantity
Incomati,Swaziland,Agreement between the government of the Republic of South Africa  the government of the Kingdom of Swaziland and the government of the People's Republic of Mozambique relative to the establishment of a tripartite permanent technical committee,17/02/1983,Mozanbique  South Africa  Swaziland,Water Quantity
Maputo,Swaziland,Agreement between the government of the Republic of South Africa  the government of the Kingdom of Swaziland and the government of the People's Republic of Mozambique relative to the establishment of a tripartite permanent technical committee,17/02/1983,Mozanbique  South Africa  Swaziland,Water Quantity
Incomati,Swaziland,Treaty on the development and utilisation of the water resources of the Komati River Basin between the government of the Kingdom of Swaziland and the government of the Republic of South Africa,13/03/1992,South Africa  Swaziland,Water Quantity
Incomati,Swaziland,Treaty on the establishment and functioning of the joint water commission between the government of the Republic of South Africa and the government of the Kingdom of Swaziland,13/03/1992,South Africa  Swaziland,Water Quantity
Maputo,Swaziland,Treaty on the establishment and functioning of the joint water commission between the government of the Republic of South Africa and the government of the Kingdom of Swaziland,13/03/1992,South Africa  Swaziland,Water Quantity
Glama,Sweden,Treaties and conventions concerning the dissolution of the Swedish-Norwegian union,26/10/1905,Norway  Sweden,Border Issues
Klaralven,Sweden,Treaties and conventions concerning the dissolution of the Swedish-Norwegian union,26/10/1905,Norway  Sweden,Border Issues
Torne/Tornealven,Sweden,Treaties and conventions concerning the dissolution of the Swedish-Norwegian union,26/10/1905,Norway  Sweden,Border Issues
Torne/Tornealven,Sweden,Agreement between Finland and Sweden concerning frontier waters,15/12/1971,Finland  Sweden,Water Quantity  Fishing
General,Sweden,EU Water Framework Directive,22/12/2000,Austria  Belgium  Cyprus  Czech Republic  Denmark  Estonia  Finland  France  Germany  Greece  Hungary  Ireland  Italy  Latvia  Lithuania  Luxembourg  Malta  the Netherlands  Poland  Portugal  Slovakia  Slovenia  Spain  Sweden  United Kingdom,N.A.
Rhine-Meuse,Switzerland,Agreement on the International Commision for the protection of the Rhine against pollution,29/04/1963,France  Germany  Federal Republic of  Luxembourg  Netherlands  Swiss Confederation,N.A.
Rhone,Switzerland,Convention concerning protection of the waters of Lake Geneva against pollution,16/11/1962,France  Switzerland,N.A.
Rhone,Switzerland,Convention instituting the Council of Lake Geneva,19/02/1987,France  Switzerland,N.A.
Rhone,Switzerland,Agreement concerning the practice of fishing and the protection of aquatic habitats in the part of the Doubs constituting a frontier between the two states,29/07/1991,France  Switzerland,N.A.
Rhone,Switzerland,Accord sous forme d'���change de notes entre le Gouvernement de la R���publique fran���aise et le Conseil f���d���ral suisse portant modification de l'accord du 20 novembre 1980 sur la d���phosphatation des eaux du lac L���man,19/09/1995,France  Switzerland,N.A.
Rhine-Meuse,Switzerland,Convention on the Protection of the Rhine,12/04/1999,Germany  France  Luxembourg  Netherlands  Swiss Confederation ,N.A.
Rhine-Meuse,Switzerland,Agreement between Germany  France and Switzerland Concerning the Scheme for the Kembs Lateral Canal  with Proces-Verbal,10/05/1922,Germany  France  Switzerland,N.A.
Rhine-Meuse,Switzerland,Protocol determining the methods of Technical and Administrative Co-operation between Germany  France and Switzerland in the work for the regulation of the Rhine between Strasbourg-Kehl and Istein,18/12/1929,Germany  France  Switzerland,N.A.
Rhine-Meuse,Switzerland,Protocol to the Protocol determining the methods of Technical and Administrative Co-operation between Germany  France and Switzerland in the work for the regulation of the Rhine between Strasbourg-Kehl and Istein,03/01/1930,Germany  France  Switzerland,N.A.
Rhine-Meuse,Switzerland,Convention between Germany and Switzerland regarding regulation of the Rhine between Strasbourg-Kehl and Istein,12/04/1905,Germany  Switzerland,N.A.
Rhine-Meuse,Switzerland,Agreement concerning the Hydropower station at Rheinfelden between Germany and Swizterland,5/18/1890,Germany  Swizterland,N.A.
Unknown,Switzerland,Convention between the Swiss Confederation and the Republic of Italy regarding fisheries in the Italo-Swiss waters,19/03/1986,Swiss Confederation  Italy,N.A.
Rhone,Switzerland,R���glement sur la manoeuvre de l'ouvrage de r���gularisation du niveau du lac L���man ��� Gen���ve,17/09/1997,Switzerland,N.A.
Rhine-Meuse,Switzerland,Convention between Switzerland  te Great Duke of Bade and Alsace and Lorraine for the regulation of fishery in the waters of the Rhine River and its tributaries  including Lake Constance,5/18/1887,Switzerland  the Great Duke of Baden  Alsace  Lorraine,N.A.
Rhone,Switzerland,Convention between Switzerland and France concerning the correction of Ruisseau (Le Boiron),03/12/1959,France  Switzerland,Border Issues
Rhone,Switzerland,Convention instituting the Council of L���man Lausanne  19 February 1987 and exchange of letters of 10 June 1987,10/06/1987,France  Switzerland,Border Issues
Rhine-Meuse,Switzerland,Treaty between the Swiss Confederation and the Republic of Austria for the regulation of the Rhine from the mouth of the Ill to Lake Constance,10/04/1954,Austria  Switzerland,Flood Control/Relief
Rhone,Switzerland,Convention between Switzerland and France concerning the correction of the Hermance,03/12/1959,France  Switzerland,Flood Control/Relief
Po,Switzerland,Convention between the Swiss Confederation and the Italian Republic concerning the correction of the Roggia Molinara (towns of Chiasso and of Come)  concluded at Chiasso,05/04/1951,Italy  Switzerland,Flood Control/Relief
Rhine-Meuse,Switzerland,Treaty between Switzerland and Austria-Hungary for the straightening of the Rhine from the mouth of the Ill until Lake Constance,12/30/1892,Austria-Hungary  Switzerland ,Flood Control/Relief  Infrastructure/Development
Po,Switzerland,Convention between Italy and Switzerland on the subject of regulation of Lake Lugano and additional protocol,17/09/1955,Italy  Switzerland,Flood Control/Relief  Infrastructure/Development
Po,Switzerland,Exchange of letters of 15 June 1970 between Switzerland and Italy concerning the management of works on the watercourse of the Breggia on the Italian-Swiss border,15/06/1970,Italy  Switzerland,Flood Control/Relief  Infrastructure/Development
Rhone,Switzerland,Treaty of peace with Italy  signed at Paris,10/02/1947,Italy  Great Britain  Soviet Union  USA  France  China  Australia  Belgium  Byelorussian Soviet Socialist Republic  Brazil  Canada  Czechoslovakia  Ethiopia  Greece  India  Netherlands  New Zealand  Poland  Ukrainian Soviet Socialist Republic  South Africa  Yugoslavia  Federal People's Republic of,Hydro-power/Hydro-electricity
Rhine-Meuse,Switzerland,Convention for the settlement of relations between Switzerland and France on the subject of certain clauses of the legal regime of the future derivation of Kembs,27/08/1926,France  Switzerland,Hydro-power/Hydro-electricity  Infrastructure/Development
Rhone,Switzerland,Convention between the French Republic and the Swiss Confederation concerning the Emosson hydro-electric facility,23/08/1963,France  Switzerland,Hydro-power/Hydro-electricity  Infrastructure/Development
Rhine-Meuse,Switzerland,Agreement between Switzerland and Italy on the subject of the concession of hydraulic forces of the Reno Di Lei  with additional protocol,18/06/1949,Italy  Switzerland,Hydro-power/Hydro-electricity  Infrastructure/Development
Rhine-Meuse,Switzerland,Treaty between the Swiss Confederation and the Republic of Austria for the straightening of the Rhine from the mouth of the Ill until Lake Constance,19/11/1924,Austria  Switzerland,Infrastructure/Development
Po,Switzerland,Convention between Switzerland and Italy relative to the hydraulic management of the Breggia Torrent at the Italian-Swiss frontier  with annexes  Berne,23/06/1972,Italy  Switzerland,Infrastructure/Development
Rhone,Switzerland,Convention between Switzerland and France on the subject of the concession of the Chatelot waterfall,19/11/1930,France  Switzerland,Infrastructure/Development  Hydro-power/Hydro-electricity
Rhone,Switzerland,Convention between France and Switzerland for the management of the hydraulic power of the Rhone between the planned factory of La Plaine and a point to be determined upstream of the bridge of Pougny-Chancy,04/10/1913,Switzerland  France,Infrastructure/Development  Hydro-power/Hydro-electricity
Rhine-Meuse,Switzerland,Convention on the protection of the Rhine against chemical pollution,03/12/1976,European Economic Community  France  Germany  Federal Republic of  Luxembourg  Netherlands  Seitzerland,Water Quality
Rhine-Meuse,Switzerland,Convention on the protection of the Rhine against pollution by chlorides (with annexes and exchanges of letters dated 1983)  concluded at Bonn,03/12/1976,France  Germany  Federal Republic of  Luxembourg  Netherlands  Swiss Confederation,Water Quality
Rhine-Meuse,Switzerland,Additional protocol to the convention on the protection of the Rhine against pollution from chlorides,25/09/1991,France  Germany  Federal Republic of  Luxembourg  Netherlands  Swiss Confederation,Water Quality
Rhine-Meuse,Switzerland,Convention on the protection of the Rhine,22/01/1998,France  Luxembourg  German Fed. Rep.  Switzerland  Netherlands  European Union,Water Quality
Rhone,Switzerland,Exchange of letters constituting an agreement between France and Switzerland on the implementation of the convention of 16 November 1962  concerning protection of the waters of Lake Geneva against pollution,21/10/1971,France  Switzerland,Water Quality
Rhone,Switzerland,Agreement concerning the activities of agencies for the control of accidental water pollution by hydrocarbones or other substances capable of contaminating water and recognized as such under the Convention of 16 November 1962 between France and Switzerlan,05/05/1977,France  Switzerland,Water Quality
Danube,Switzerland,Convention concerning the protection of Italo-Swiss waters against pollution  signed at Rome,20/04/1972,Italy  Switzerland ,Water Quality
Po,Switzerland,Convention concerning the protection of Italo-Swiss waters against pollution  signed at Rome,20/04/1972,Italy  Switzerland ,Water Quality
Rhine-Meuse,Switzerland,Convention concerning the protection of Italo-Swiss waters against pollution  signed at Rome,20/04/1972,Italy  Switzerland ,Water Quality
Rhone,Switzerland,Convention concerning the protection of Italo-Swiss waters against pollution  signed at Rome,20/04/1972,Italy  Switzerland ,Water Quality
Rhine-Meuse,Switzerland,Agreement between the government of the Land Badenwurttemberg and the Swiss Federal Council concerning the joint construction and operation of a monitoring and control station downstream of Basel to monitor the water quality of the River Rhine,17/05/1990,Land Baden Wurttenmberg  Switzerland,Water Quality
Rhone,Switzerland,Agreement between the government of the French Republic and the Federal Council of Switzerland  on behalf of the Canton of Geneva on the dephosphatization of Lake Leman waters,20/11/1980,Switzerland  France,Water Quality
Rhine-Meuse,Switzerland,Convention concerning the collection  storage  and discharge of waste from ships navigating along the Rhine and other inland waters,09/09/1996,Belgium  France  Germany  Luxembourg  Netherlands  Switzerland,Water Quality  Navigation
Rhine-Meuse,Switzerland,Agreement between West Germany  Austria  and Switzerland relating to the withdrawal of water from Lake Constance,30/04/1966,Switzerland  German Fed. Rep.  Austria,Water Quantity
Po,Switzerland,Convention between the Swiss Confederation and the Italian Republic on the subject of utilization of the hydraulic force of the Spol and additional protocol,27/05/1957,Italy  Switzerland,Water Quantity  Hydro-power/Hydro-electricity
Rhine-Meuse,Switzerland,Convention between the delegates of the riparian states of Lake Constance: Bade  Bavaria  Austria  Switzerland and Wurtemberg  concerning the regulation of the flow of water of Lake Constance near Constance,8/31/1857,Austria  Bade  State of  Bavaria  State of  Switzerland  Wurtemberg  State of,Water Quantity  Infrastructure/Development
Rhine-Meuse,Switzerland,Revised convention relating to the navigation of the Rhine,10/17/1868,Belgium  Germany  France  Netherlands  Switzerland  UK and Northern Ireland,N.A.
Rhine-Meuse,Switzerland,Convention pour le reglement des rapports entre la Suisse et la France au sujet de certaines clauses du regime juridique de la future derivation de Kembs,28/08/1930,France  Switzerland,N.A.
Tigris-Euphrates/Shatt al Arab,Syria,Bilateral Agreement between Syria and Iraq concerning the installation of a Syrian pump station on the Tigris River for irrigation purposes,09/04/2002,Syria  Iraq,N.A.
An Nahr Al Kabir,Syria,Agreement between Syria and Lebanon for the sharing of the Great Southern River basin waters and the building of a joint dam on it,12/12/2002,N.A.,N.A.
Asi/Orontes,Syria,Joint comminique between Republic of Turkey Prime Ministry Southeastern Anatolia Project Regional Development Administration (GAP) and Arab Republic of Syria Ministry of Irrigation General Organization for Land Development (GOLD),23/08/2001,Syria  Turkey,Technical Cooperation/Assistance
Nahr El Kebir,Syria,Joint comminique between Republic of Turkey Prime Ministry Southeastern Anatolia Project Regional Development Administration (GAP) and Arab Republic of Syria Ministry of Irrigation General Organization for Land Development (GOLD),23/08/2001,Syria  Turkey,Technical Cooperation/Assistance
Tigris-Euphrates/Shatt al Arab,Syria,Joint comminique between Republic of Turkey Prime Ministry Southeastern Anatolia Project Regional Development Administration (GAP) and Arab Republic of Syria Ministry of Irrigation General Organization for Land Development (GOLD),23/08/2001,Syria  Turkey,Technical Cooperation/Assistance
Tigris-Euphrates/Shatt al Arab,Syria,Law No.14 of 1990  ratifying the Joint Minutes concerning the provisional division of the waters of the Euphrates River,17/04/1989,Iraq  Syria,Water Quantity
Jordan,Syria,Treaty of peace between the state of Israel and the Hashemite Kingdom of Jordan  done at Arava/Araba crossing point,26/10/1994,Israel  Jordan  Lebanon  Syria,Water Quantity
Asi/Orontes,Syria,Agreement between Lebanon and Syria on the distribution of water of Al-Asi River rising in Lebanon,20/09/1994,Lebanon  Syria,Water Quantity
Asi/Orontes,Syria,Agreement Annex between Lebanon and Syria concerning the distribution of water of the Al-Asi River rising in Lebanon.,12/12/2002,Lebanon  Syrian Arab Republic,Water Quantity
Tigris-Euphrates/Shatt al Arab,Syria,Minutes between Syria and Turkey on cooperation in fighting terrorism  signed at Adana  including Annex 2,20/10/1998,Syria  Turkey,Water Quantity
An Nahr Al Kabir,Syria,An agreement between the Syrian Arab Republic and the Lebanese Republic for the sharing of the Great Southern River Basin water and building of joint dam on the maincourse of the river,20/04/2002,Syrian Arab Republic  Lebanese Republic,Water Quantity
Jordan,Syria,Agreement between the Republic of Syria and the Hashemite Kingdom of Jordan concerning the utilization of the Yarmuk waters.,04/06/1953,Jordan  Syria ,Water Quantity  Hydro-power/Hydro-electricity
Jordan,Syria,Agreement concerning the utilization of the Yarmuk waters (with Annex). Signed at Amman on 3 September 1987,03/09/1987,Syria  Jordan,Water Quantity  Hydro-power/Hydro-electricity
Tigris-Euphrates/Shatt al Arab,Syria,Protocol on matters pertaining to economic cooperation. Signed at Damascus,17/07/1987,Syria  Turkey,Water Quantity  Hydro-power/Hydro-electricity
Jordan,Syrian Arab Republic,Agreement of good neighbourly relations concluded between the British and French governments on behalf of the territories of Palestine  on the one part  and on behalf of Syria and Great Lebanon  on the other part,02/02/1926,France  Great Britain,Border Issues
Jordan,Syrian Arab Republic,Exchange of notes constituting an agreement between the British and French governments respecting the boundary line between Syria and Palestine from the Mediterranean to El Hamme,07/03/1923,Great Britain  France,Border Issues
Jordan,Syrian Arab Republic,Franco-British convention on certain points connected with the mandates for Syria and the Lebanon  Palestine and Mesopotamia,23/12/1920,France  Great Britain,Irrigation  Hydro-power/Hydro-electricity
Tigris-Euphrates/Shatt al Arab,Syrian Arab Republic,Franco-British convention on certain points connected with the mandates for Syria and the Lebanon  Palestine and Mesopotamia,23/12/1920,France  Great Britain,Irrigation  Hydro-power/Hydro-electricity
Aral Sea,Tajikistan,Agreement between the Republic of Kazakhstan  Republic of Kyrgyzstan  Republic of Uzbekistan  Republic of Tajikistan and Turkmenistan on Cooperation in the Area of Joint Management  Utilization and Protection of Interstate Water Resources,18/02/1992,Kazakhstan  Kyrgyzstan  Tajikistan  Turkmenistan  Uzbekistan,N.A.
Aral Sea,Tajikistan,Agreement on the status of the International Aral Sea Fund and its organizations,09/04/1999,Kazakhstan  Kyrgyzstan  Tajikistan  Turkmenistan  Uzbekistan,N.A.
Unknown,Tajikistan,Agreement between the Government of the Republic of Tajikistan and the Government of the Republic of Uzbekistan on cooperation in the area of rational water and energy uses,04/02/1998,Tajikistan  Uzbekistan,N.A.
Aral Sea,Tajikistan,Protocol between the Union of Soviet Socialist Republics and Afghanistan on the joint execution of works for the integrated utilization of the water resources in the frontier section of the Amudarya river,25/06/1958,Union of Soviet Socialist Republics  Afghanistan,N.A.
Unknown,Tajikistan,Agreement between the Government of the Republic of Uzbekistan and the Government of the Republic of Tajikistan on cooperation in the area of rational water and energy uses in 1999,13/04/1999,Uzbekistan  Tajikistan,N.A.
Unknown,Tajikistan,Agreement between the Government of Uzbekistan and the Government of Tajikistan on joint arrangements and interaction regarding early warning in case of water inrush from Sarez Lake,30/05/2000,Uzbekistan  Tajikistan,N.A.
Aral Sea,Tajikistan,Agreement on joint activities in addressing the Aral Sea and the zone around the Sea crisis  improving the environment  and ensuring the social and economic development of the Aral Sea region,26/03/1993,Kazakhstan  Kyrgyzstan  Tajikistan  Turkmenistan  Uzbekhstan,Water Quality
Aral Sea,Tajikistan,Resolution of the heads of states of Central Asia on work of the EC of ICAS on implementation of action plan on improvement of ecological situation in the Aral Sea Basin for the 3-5 years to come with consideration for social and economic development of the region,03/03/1995,Kazakhstan  Kyrgyzstan  Tajikistan  Turkmenistan  Uzbekhstan,Water Quality
Aral Sea,Tajikistan,Protocol on inserting amendments and addenda in the agreement between the governments of the Republic of Kazakhstan  the Kyrgyz Republic  and the Republic of Uzbekistan on the use of water and energy resources of the Syr Darya Basin,07/05/1999,Kazakhstan  Kyrgz Republic  Tajikistan  Uzbekistan,Water Quantity  Hydro-power/Hydro-electricity
General,Tajikistan,CIS Agreement on rational management and protection of transboundary waterbodies.,11/09/1998,Armenia  Azerbaijan  Belarus  Georgia  Kazakhstan  Kyrgyzstan  Moldova  Republic of  Russian Federation  Tajikistan  Turkmenistan  Ukraine  Uzbekistan,N.A.
Nile,Tanzania  United Republic of,Amendment to the Agreement for the Establishment of an Organization to Manage and Develop The Kagera River Basin. 19 May  1978,19/05/1978,Burundi  Rwanda  Tanzania  Uganza,N.A.
Nile,Tanzania  United Republic of,Agreement for the Hydrometeorological Survey of Lakes Victoria  Kyogo and Albert (Mobutu Sese Seko),17/08/1967,Kenya  Tanganyika  Uganda  Sudan  Egypt,N.A.
Nile,Tanzania  United Republic of,Treaty for the Establishment of the East African Community signed at Arusha,30/11/1999,Kenya  Uganda  Tanzania,N.A.
Nile,Tanzania  United Republic of,Protocol for Sustainable Development of Lake Victoria Basin. Arusha  29 November  2003,29/11/2003,Kenya  Uganda  Tanzania,N.A.
Zambezi,Tanzania  United Republic of,Agreement on the Establishment of the Zambezi Watercourse Commission,13/07/2004,N.A.,N.A.
Congo/Zaire,Tanzania  United Republic of,Exchange of notes accepting the protocol relative to the Tanganyika-Ruanda-Urundi Frontier,17/05/1926,Great Britain  Belgium,Border Issues  Fishing
Zambezi,Tanzania  United Republic of,Agreement on the action plan for the environmentally sound management of the common Zambesi River System,28/05/1987,Botswana  Mozambique  Tanzania  Zambia  Zimbabwe,Flood control/relief  Water Quantity
General,Tanzania  United Republic of,Protocol on shared watercourse systems in the Southern African Development community (SADC) region,28/08/1995,Angola  Botswana  Lesotho  Malawi  Namibia  Zimbabwe  Mozanbique  Zambia  South Africa  Swaziland  Tanzania,Joint Management
Nile,Tanzania  United Republic of,Accession of Uganda to the agreement pertaining to the creation of the organization for the management and development of the Kagera river basin,18/05/1981,Burundi  Rwanda  Tanzania  Uganda,Joint Management
Nile,Tanzania  United Republic of,Agreement to initiate program to strengthen regional coordination in management of resources of Lake Victoria,05/08/1994,Kenya  Tanzania  Uganda,Joint Management
General,Tanzania  United Republic of,Revised protocol on shared water courses in the Southern African Development Community,07/08/2000,Angola  Botswana  Democratic Republic of Congo  Lesotho  Malawi  Mauritus  Mozambique  Namibia  Seychelles  South Africa  Swaziland  Tanzania  Zambia  Zimbabwe,Joint Management  Economic Development
Nile,Tanzania  United Republic of,Agreement for the establishment of the organization for the management and development of the Kagera river basin (with attached map)  Concluded at Rusumo  Rwanda,24/08/1977,Burundi  Rwanda  Tanzania  Uganza,Joint Management  Economic Development
